date,tmax,tmin,prec,source,jd,updated_at
2025-09-01,,,0.0,forecast,244,2025-09-01 15:38:55.744253-03:00
2025-09-02,,,0.0,forecast,245,2025-09-02 06:29:14.831099-03:00
2025-09-03,,,0.0,forecast,246,2025-09-03 06:27:38.311032-03:00
2025-09-04,13.0,1.0,0.0,forecast,247,2025-09-04 13:44:54.816593-03:00
2025-09-05,14.0,-1.0,0.0,forecast,248,2025-09-05 09:23:16.074853-03:00
2025-09-06,16.0,1.0,0.0,forecast,249,2025-09-06 09:20:38.883717-03:00
2025-09-07,17.0,1.0,0.0,forecast,250,2025-09-07 09:21:18.637272-03:00
2025-09-08,19.0,3.0,0.0,forecast,251,2025-09-08 09:26:00.991407-03:00
2025-09-09,23.0,5.0,0.0,forecast,252,2025-09-09 09:26:04.345067-03:00
2025-09-10,22.0,9.0,0.8,forecast,253,2025-09-10 09:23:46.387914-03:00
2025-09-11,23.0,7.0,0.0,forecast,254,2025-09-11 09:23:14.390555-03:00
2025-09-12,23.0,7.0,0.0,forecast,255,2025-09-12 09:23:18.784175-03:00
2025-09-13,23.0,7.0,0.3,forecast,256,2025-09-13 09:20:59.784930-03:00
2025-09-14,23.0,7.0,0.9,forecast,257,2025-09-14 09:21:07.092642-03:00
2025-09-15,25.0,9.0,0.0,forecast,258,2025-09-15 09:24:37.631257-03:00
2025-09-16,25.0,9.0,0.0,forecast,259,2025-09-16 09:24:29.435762-03:00
2025-09-17,27.0,12.0,0.0,forecast,260,2025-09-17 09:24:58.588899-03:00
2025-09-18,26.0,14.0,0.0,forecast,261,2025-09-18 09:24:11.063550-03:00
2025-09-19,22.0,15.0,9.3,forecast,262,2025-09-19 09:24:55.309402-03:00
2025-09-20,16.0,12.0,74.1,forecast,263,2025-09-20 09:21:42.457828-03:00
2025-09-21,15.0,7.0,9.5,forecast,264,2025-09-21 09:21:43.639243-03:00
2025-09-22,19.0,7.0,0.1,forecast,265,2025-09-22 09:25:21.973245-03:00
2025-09-23,18.0,5.0,0.0,forecast,266,2025-09-23 09:24:16.132752-03:00
2025-09-24,16.0,2.0,0.0,forecast,267,2025-09-24 09:25:02.762778-03:00
2025-09-25,20.0,4.0,0.0,forecast,268,2025-09-25 09:25:41.854610-03:00
2025-09-26,20.0,7.0,0.2,forecast,269,2025-09-26 09:24:28.906098-03:00
2025-09-27,17.0,10.0,66.4,forecast,270,2025-09-27 09:21:31.027993-03:00
2025-09-28,24.0,6.0,0.0,forecast,271,2025-09-28 09:21:43.803964-03:00
2025-09-29,23.0,10.0,0.0,forecast,272,2025-09-29 09:26:03.712616-03:00
2025-09-30,24.0,8.0,0.0,forecast,273,2025-09-30 09:25:57.409655-03:00
2025-10-01,25.0,8.0,0.0,forecast,274,2025-10-01 09:26:18.782155-03:00
2025-10-02,27.0,9.0,0.0,forecast,275,2025-10-02 09:23:28.575031-03:00
2025-10-03,28.0,12.0,0.0,forecast,276,2025-10-03 09:24:04.817260-03:00
2025-10-04,29.0,13.0,23.5,forecast,277,2025-10-04 09:21:13.576157-03:00
2025-10-05,19.0,9.0,0.1,forecast,278,2025-10-05 09:21:25.499253-03:00
2025-10-06,18.0,5.0,0.0,forecast,279,2025-10-06 09:25:20.181361-03:00
2025-10-07,23.0,7.0,0.0,forecast,280,2025-10-07 09:25:48.101862-03:00
2025-10-08,26.0,9.0,0.0,forecast,281,2025-10-08 09:25:57.992182-03:00
2025-10-09,28.0,12.0,0.0,forecast,282,2025-10-09 09:24:55.331732-03:00
2025-10-10,29.0,12.0,0.0,forecast,283,2025-10-10 09:25:40.283559-03:00
2025-10-11,23.0,13.0,15.8,forecast,284,2025-10-11 09:21:23.446912-03:00
2025-10-12,17.0,11.0,8.3,forecast,285,2025-10-12 09:21:33.815722-03:00
2025-10-13,27.0,7.0,0.0,forecast,286,2025-10-13 09:25:42.584807-03:00
2025-10-14,26.0,7.0,0.0,forecast,287,2025-10-14 09:26:30.331163-03:00
2025-10-15,28.0,13.0,1.6,forecast,288,2025-10-15 09:27:18.731984-03:00
2025-10-16,27.0,12.0,0.0,forecast,289,2025-10-16 09:26:17.238450-03:00
2025-10-17,25.0,10.0,0.0,forecast,290,2025-10-17 09:25:03.072858-03:00
2025-10-18,22.0,7.0,0.0,forecast,291,2025-10-18 09:22:03.933890-03:00
2025-10-19,23.0,6.0,0.0,forecast,292,2025-10-19 09:22:11.784045-03:00
2025-10-20,26.0,11.0,0.0,forecast,293,2025-10-20 09:26:32.564949-03:00
2025-10-21,28.0,13.0,17.5,forecast,294,2025-10-21 09:26:28.725756-03:00
2025-10-22,23.0,13.0,17.5,forecast,295,2025-10-22 09:26:45.215260-03:00
2025-10-23,25.0,15.0,25.1,forecast,296,2025-10-23 09:26:26.824838-03:00
2025-10-24,25.0,15.0,8.7,forecast,297,2025-10-24 09:26:34.010668-03:00
2025-10-25,20.0,12.0,1.6,forecast,298,2025-10-25 09:21:45.828034-03:00
2025-10-26,21.0,8.0,0.0,forecast,299,2025-10-26 09:22:37.545089-03:00
2025-10-27,16.0,6.0,0.3,forecast,300,2025-10-27 09:26:21.687328-03:00
2025-10-28,15.0,2.0,0.0,forecast,301,2025-10-28 09:25:28.104017-03:00
2025-10-29,17.0,4.0,0.0,forecast,302,2025-10-29 09:27:07.952767-03:00
2025-10-30,21.0,7.0,0.0,forecast,303,2025-10-30 09:25:42.034124-03:00
2025-10-31,26.0,8.0,0.0,forecast,304,2025-10-31 09:26:34.522405-03:00
2025-11-01,27.0,13.0,0.0,forecast,305,2025-11-01 09:22:08.022063-03:00
2025-11-02,28.0,11.0,0.0,forecast,306,2025-11-02 09:21:57.805274-03:00
2025-11-03,28.0,16.0,7.8,forecast,307,2025-11-03 09:27:14.740476-03:00
2025-11-04,22.0,12.0,55.7,forecast,308,2025-11-04 09:28:00.546359-03:00
2025-11-05,20.0,6.0,0.0,forecast,309,2025-11-05 09:26:20.770947-03:00
2025-11-06,19.0,7.0,0.2,forecast,310,2025-11-06 09:26:09.315240-03:00
2025-11-07,20.0,9.0,0.1,forecast,311,2025-11-07 09:25:12.808135-03:00
2025-11-08,23.0,9.0,0.1,forecast,312,2025-11-08 09:22:05.283497-03:00
2025-11-09,26.0,12.0,0.0,forecast,313,2025-11-09 09:22:19.430535-03:00
2025-11-10,28.0,13.0,0.0,forecast,314,2025-11-10 09:26:43.166206-03:00
2025-11-11,27.0,13.0,15.6,forecast,315,2025-11-11 09:25:54.494037-03:00
2025-11-12,26.0,11.0,0.0,forecast,316,2025-11-12 09:26:46.353460-03:00
2025-11-13,28.0,12.0,0.0,forecast,317,2025-11-13 09:27:03.888122-03:00
2025-11-14,32.0,15.0,0.0,forecast,318,2025-11-14 09:26:37.336212-03:00
2025-11-15,32.0,17.0,9.4,forecast,319,2025-11-15 09:22:31.161694-03:00
2025-11-16,24.0,10.0,0.2,forecast,320,2025-11-16 09:22:48.092759-03:00
2025-11-17,27.0,8.0,0.0,forecast,321,2025-11-17 09:26:43.753837-03:00
2025-11-18,25.0,12.0,0.0,forecast,322,2025-11-18 09:27:19.578972-03:00
2025-11-19,26.0,9.0,0.0,forecast,323,2025-11-19 09:26:50.259668-03:00
2025-11-20,26.0,13.0,0.0,forecast,324,2025-11-20 09:26:45.362500-03:00
2025-11-21,22.0,12.0,4.9,forecast,325,2025-11-21 09:25:01.878763-03:00
2025-11-22,23.0,8.0,0.0,forecast,326,2025-11-22 09:21:53.439630-03:00
2025-11-23,26.0,9.0,0.0,forecast,327,2025-11-23 09:21:50.629797-03:00
2025-11-24,28.0,11.0,0.0,forecast,328,2025-11-24 09:27:02.519243-03:00
2025-11-25,32.0,14.0,0.0,forecast,329,2025-11-25 09:27:49.334694-03:00
2025-11-26,33.0,16.0,0.0,forecast,330,2025-11-26 09:27:49.727841-03:00
2025-11-27,30.0,17.0,11.5,forecast,331,2025-11-27 09:27:12.594695-03:00
2025-11-28,27.0,14.0,0.0,forecast,332,2025-11-28 09:26:27.984378-03:00
2025-11-29,20.0,11.0,0.6,forecast,333,2025-11-29 09:23:18.216099-03:00
2025-11-30,19.0,12.0,15.0,forecast,334,2025-11-30 09:23:33.314421-03:00
2025-12-01,25.0,13.0,1.7,forecast,335,2025-12-01 09:28:20.236378-03:00
2025-12-02,29.0,13.0,0.1,forecast,336,2025-12-02 09:28:25.260716-03:00
2025-12-03,35.0,16.0,0.0,forecast,337,2025-12-03 09:27:53.173367-03:00
2025-12-04,37.0,20.0,0.4,forecast,338,2025-12-04 09:28:49.597842-03:00
2025-12-05,33.0,20.0,4.7,forecast,339,2025-12-05 09:27:32.106946-03:00
2025-12-06,30.0,13.0,0.0,forecast,340,2025-12-06 09:24:06.536598-03:00
2025-12-07,30.0,13.0,0.0,forecast,341,2025-12-07 09:23:16.272767-03:00
2025-12-08,32.0,14.0,0.0,forecast,342,2025-12-08 09:27:54.093065-03:00
2025-12-09,31.0,14.0,0.0,forecast,343,2025-12-09 09:28:11.570832-03:00
2025-12-10,33.0,18.0,3.5,forecast,344,2025-12-10 09:28:10.551097-03:00
2025-12-11,32.0,17.0,6.2,forecast,345,2025-12-11 09:29:03.848243-03:00
2025-12-12,34.0,15.0,0.0,forecast,346,2025-12-12 09:27:44.039620-03:00
2025-12-13,27.0,17.0,0.3,forecast,347,2025-12-13 09:24:28.940009-03:00
2025-12-14,31.0,14.0,0.0,forecast,348,2025-12-14 09:24:41.904335-03:00
2025-12-15,27.0,11.0,0.0,forecast,349,2025-12-15 09:30:33.901059-03:00
2025-12-16,27.0,10.0,0.1,forecast,350,2025-12-16 09:28:59.650860-03:00
2025-12-17,33.0,11.0,1.5,forecast,351,2025-12-17 09:28:37.211794-03:00
2025-12-18,34.0,17.0,0.2,forecast,352,2025-12-18 09:28:06.786693-03:00
2025-12-19,33.0,13.0,0.0,forecast,353,2025-12-19 09:26:37.628903-03:00
2025-12-20,29.0,19.0,7.0,forecast,354,2025-12-20 09:24:05.524581-03:00
2025-12-21,34.0,19.0,0.0,forecast,355,2025-12-21 09:24:34.798022-03:00
2025-12-22,33.0,17.0,0.0,forecast,356,2025-12-22 09:28:26.001051-03:00
2025-12-23,35.0,17.0,0.0,forecast,357,2025-12-23 09:28:28.891598-03:00
2025-12-24,31.0,16.0,0.5,forecast,358,2025-12-24 09:27:36.910581-03:00
2025-12-25,34.0,11.0,0.0,forecast,359,2025-12-25 09:27:09.789686-03:00
2025-12-26,36.0,13.0,0.0,forecast,360,2025-12-26 09:26:59.883756-03:00
2025-12-27,34.0,19.0,0.0,forecast,361,2025-12-27 09:25:11.066995-03:00
2025-12-28,36.0,15.0,0.0,forecast,362,2025-12-28 09:25:41.550055-03:00
2025-12-29,40.0,17.0,0.0,forecast,363,2025-12-29 09:29:13.898448-03:00
2025-12-30,41.0,21.0,0.4,forecast,364,2025-12-30 09:28:45.074797-03:00
2025-12-31,41.0,22.0,0.0,forecast,365,2025-12-30 09:28:45.074797-03:00
2026-01-01,36.0,13.0,0.4,forecast,1,2025-12-30 09:28:45.074797-03:00
2026-01-02,25.0,9.0,0.2,forecast,2,2025-12-30 09:28:45.074797-03:00
2026-01-03,30.0,7.0,0.0,forecast,3,2025-12-30 09:28:45.074797-03:00
2026-01-04,30.0,10.0,0.0,forecast,4,2025-12-30 09:28:45.074797-03:00
2026-01-05,34.0,12.0,0.0,forecast,5,2025-12-30 09:28:45.074797-03:00
2026-01-06,22.0,14.0,2.7,forecast,6,2025-12-30 09:28:45.074797-03:00
